id,question,expected_answer,required_context,mock_mode,top_retrieved_title,top_retrieval_score,generated_answer,answer_relevance,groundedness,completeness,hallucination_risk,overall_score,unsupported_sentences
1,What is groundedness in LLM evaluation?,Groundedness measures whether a generated answer is supported by the provided context.,groundedness,grounded,Groundedness,1.2677,Groundedness measures whether a generated answer is supported by the provided context. A grounded answer stays close to retrieved evidence and avoids claims that cannot be verified from the available material.,5,5,5,Low,5.0,
2,What does hallucination risk measure?,Hallucination risk measures whether an answer contains invented unsupported or unverifiable claims.,hallucination,grounded,Hallucination Risk,2.6815,"Hallucination risk measures the likelihood that an answer contains invented, unsupported, or unverifiable claims. A high hallucination-risk answer may sound plausible while adding details not present in the source context.",5,5,5,Low,5.0,
3,Why does answer relevance matter?,Answer relevance matters because the response should directly address the user question and avoid unrelated topics.,answer relevance,grounded,Answer Relevance,1.4846,Answer relevance measures whether a response directly addresses the user question. A relevant answer should stay focused on the question rather than shifting to unrelated topics.,3,5,3,Low,3.9,
4,What does completeness measure?,Completeness measures whether an answer covers the essential points required by the expected answer.,completeness,grounded,Completeness,1.4055,"Completeness measures whether an answer covers the main points required by the expected answer. A complete answer does not need to be long, but it should include the essential information.",5,5,5,Low,5.0,
5,Why is context usefulness important in RAG evaluation?,Context usefulness is important because poor retrieval can cause weak answers even when generation works correctly.,context usefulness,grounded,Context Usefulness,2.4728,Context usefulness measures whether retrieved context contains information needed to answer the question. Poor retrieval can cause weak answers even when the answer generator behaves correctly.,4,5,4,Low,4.45,
6,What is regression testing used for in LLM evaluation?,Regression testing compares results across versions to detect whether system changes improved or degraded quality.,regression testing,grounded,Regression Testing,2.4889,"Regression testing compares evaluation results across multiple runs or versions. It helps identify whether changes to prompts, retrieval settings, or model behavior improved or degraded system quality.",5,5,5,Low,5.0,
7,Why can rule-based evaluation be useful for a portfolio project?,Rule-based evaluation is useful because the scoring logic is transparent inspectable explainable and testable.,rule-based evaluation,grounded,Rule-Based Evaluation,2.7525,"Rule-based evaluation uses transparent scoring logic instead of hidden model judgment. It is useful for portfolio projects because scoring behavior can be inspected, explained, and tested.",4,5,4,Low,4.45,
8,What is synthetic evaluation data?,Synthetic evaluation data is artificially created data used for safe testing and demonstration without private or confidential records.,synthetic evaluation data,grounded,Synthetic Evaluation Data,2.7524,"Synthetic evaluation data is artificially created data used for safe testing and demonstration. It avoids exposing private customer data, proprietary documents, or confidential business records.",5,5,5,Low,5.0,
9,What does RAG evaluation measure?,RAG evaluation measures both retrieval quality and generation quality including whether answers use useful context and avoid unsupported claims.,rag evaluation,grounded,RAG Evaluation,0.4937,"RAG evaluation measures both retrieval and generation quality. A strong RAG answer should retrieve useful context, answer the question, and avoid unsupported claims.",3,5,4,Low,4.15,
10,What is a drawback of LLM-as-judge evaluation?,LLM-as-judge evaluation can introduce cost variability and judge-model bias.,llm-as-judge evaluation,grounded,LLM-As-Judge Evaluation,1.7074,"LLM-as-judge evaluation uses a language model to score outputs. It can capture nuance, but it also introduces cost, variability, and potential judge-model bias.",4,5,4,Low,4.45,
